# wavelength [nm], transmission T [%]
3.730000000000000000e+02,3.503487649579624019e+01
3.735000000000000000e+02,3.695171652061568324e+01
3.740000000000000000e+02,3.791318982620527578e+01
3.745000000000000000e+02,3.749792314534321491e+01
3.750000000000000000e+02,3.586786775492684853e+01
3.755000000000000000e+02,3.352104515665578788e+01
3.760000000000000000e+02,3.154953735840101459e+01
3.765000000000000000e+02,3.073533148694223982e+01
3.770000000000000000e+02,3.072252984055073810e+01
3.775000000000000000e+02,3.075272565360669574e+01
3.780000000000000000e+02,3.125005051908892284e+01
3.785000000000000000e+02,3.186485392592573618e+01
3.790000000000000000e+02,3.173300141998288737e+01
3.795000000000000000e+02,3.165628657521590128e+01
3.800000000000000000e+02,3.242591548604355012e+01
3.805000000000000000e+02,3.354671056364356474e+01
3.810000000000000000e+02,3.400282017879496976e+01
3.815000000000000000e+02,3.414700579857500884e+01
3.820000000000000000e+02,3.381925511419815678e+01
3.825000000000000000e+02,3.265212547831848156e+01
3.830000000000000000e+02,3.105679003491367141e+01
3.835000000000000000e+02,3.068744595333371805e+01
3.840000000000000000e+02,3.127053880532086438e+01
3.845000000000000000e+02,3.239624550154388061e+01
3.850000000000000000e+02,3.409543477513217624e+01
3.855000000000000000e+02,3.585838529075552117e+01
3.860000000000000000e+02,3.591008036476210208e+01
3.865000000000000000e+02,3.490799477231420411e+01
3.870000000000000000e+02,3.402956266008128949e+01
3.875000000000000000e+02,3.396680729359198381e+01
3.880000000000000000e+02,3.405858951507515542e+01
3.885000000000000000e+02,3.479960329786783291e+01
3.890000000000000000e+02,3.645573767656577502e+01
3.895000000000000000e+02,3.832337384496649690e+01
3.900000000000000000e+02,3.852885828210329322e+01
3.905000000000000000e+02,3.788496715374699875e+01
3.910000000000000000e+02,3.800396917271827135e+01
3.915000000000000000e+02,3.763613231876018972e+01
3.920000000000000000e+02,3.679023315793629223e+01
3.925000000000000000e+02,3.657418127551906650e+01
3.930000000000000000e+02,3.727979551844918404e+01
3.935000000000000000e+02,3.744406865296603115e+01
3.940000000000000000e+02,3.765344342987631165e+01
3.945000000000000000e+02,3.792495439520040179e+01
3.950000000000000000e+02,3.769548735498425884e+01
3.955000000000000000e+02,3.739549118019907326e+01
3.960000000000000000e+02,3.765709950768502523e+01
3.965000000000000000e+02,3.806773400620337355e+01
3.970000000000000000e+02,3.764610292786632328e+01
3.975000000000000000e+02,3.751217004599768501e+01
3.980000000000000000e+02,3.794272941286273237e+01
3.985000000000000000e+02,3.771403649963477278e+01
3.990000000000000000e+02,3.732379036658129223e+01
3.995000000000000000e+02,3.727526607579467566e+01
4.000000000000000000e+02,3.683754175057561753e+01
4.005000000000000000e+02,3.532572558037348642e+01
4.010000000000000000e+02,3.369364939655251590e+01
4.015000000000000000e+02,3.240230986403921065e+01
4.020000000000000000e+02,3.166798991498616189e+01
4.025000000000000000e+02,3.144093067867735769e+01
4.030000000000000000e+02,3.168760965860344925e+01
4.035000000000000000e+02,3.178883920253388595e+01
4.040000000000000000e+02,3.202558654068701571e+01
4.045000000000000000e+02,3.241980276185082488e+01
4.050000000000000000e+02,3.216001875379146213e+01
4.055000000000000000e+02,3.136429705478751373e+01
4.060000000000000000e+02,3.128700870015625313e+01
4.065000000000000000e+02,3.164214144501325521e+01
4.070000000000000000e+02,3.193478801416291901e+01
4.075000000000000000e+02,3.238917518124798534e+01
4.080000000000000000e+02,3.293083698716606023e+01
4.085000000000000000e+02,3.272750041543942956e+01
4.090000000000000000e+02,3.196608626466380798e+01
4.095000000000000000e+02,3.120925944574387145e+01
4.100000000000000000e+02,3.080876699235369642e+01
4.105000000000000000e+02,3.122291583385814917e+01
4.110000000000000000e+02,3.164568286571711653e+01
4.115000000000000000e+02,3.145665809210855812e+01
4.120000000000000000e+02,3.095417592760274061e+01
4.125000000000000000e+02,3.059755884014019855e+01
4.130000000000000000e+02,2.984953254909318332e+01
4.135000000000000000e+02,2.900382094293632207e+01
4.140000000000000000e+02,2.844437744072699914e+01
4.145000000000000000e+02,2.817468951327820648e+01
4.150000000000000000e+02,2.749341516452099654e+01
4.155000000000000000e+02,2.663096072119027369e+01
4.160000000000000000e+02,2.617599128782888585e+01
4.165000000000000000e+02,2.578493390384217676e+01
4.170000000000000000e+02,2.519674463212412974e+01
4.175000000000000000e+02,2.474621933305420995e+01
4.180000000000000000e+02,2.425657719333432638e+01
4.185000000000000000e+02,2.387500557814648872e+01
4.190000000000000000e+02,2.355533822628028773e+01
4.195000000000000000e+02,2.343147428834530643e+01
4.200000000000000000e+02,2.365924151969168321e+01
4.205000000000000000e+02,2.402427168446703831e+01
4.210000000000000000e+02,2.466828493169354530e+01
4.215000000000000000e+02,2.552101375272813755e+01
4.220000000000000000e+02,2.615861316820618399e+01
4.225000000000000000e+02,2.628592868692136619e+01
4.230000000000000000e+02,2.634814706422368857e+01
4.235000000000000000e+02,2.642859463554859190e+01
4.240000000000000000e+02,2.631069366680434740e+01
4.245000000000000000e+02,2.608673889328545670e+01
4.250000000000000000e+02,2.623498020772403905e+01
4.255000000000000000e+02,2.680574627104416763e+01
4.260000000000000000e+02,2.685593088797202910e+01
4.265000000000000000e+02,2.691902282910803024e+01
4.270000000000000000e+02,2.728148552143924732e+01
4.275000000000000000e+02,2.745112505999469121e+01
4.280000000000000000e+02,2.702329262435877055e+01
4.285000000000000000e+02,2.660967275484265571e+01
4.290000000000000000e+02,2.656960182672143489e+01
4.295000000000000000e+02,2.660116080753037693e+01
4.300000000000000000e+02,2.653612804448524187e+01
4.305000000000000000e+02,2.660731783040052179e+01
4.310000000000000000e+02,2.686126579802679970e+01
4.315000000000000000e+02,2.673766302006434614e+01
4.320000000000000000e+02,2.631891572620412845e+01
4.325000000000000000e+02,2.605751590558052655e+01
4.330000000000000000e+02,2.595173526224986915e+01
4.335000000000000000e+02,2.571087235301784801e+01
4.340000000000000000e+02,2.508084165272552823e+01
4.345000000000000000e+02,2.393028036335688924e+01
4.350000000000000000e+02,2.275595411617268127e+01
4.355000000000000000e+02,2.147716600032181233e+01
4.360000000000000000e+02,2.018777251432662467e+01
4.365000000000000000e+02,1.943570915223095952e+01
4.370000000000000000e+02,1.916135202352200295e+01
4.375000000000000000e+02,1.876589539227104453e+01
4.380000000000000000e+02,1.854189069250592325e+01
4.385000000000000000e+02,1.847646733584402767e+01
4.390000000000000000e+02,1.846047858761246729e+01
4.395000000000000000e+02,1.847870021770622984e+01
4.400000000000000000e+02,1.867457775904123807e+01
4.405000000000000000e+02,1.880562332763227573e+01
4.410000000000000000e+02,1.864345918911050859e+01
4.415000000000000000e+02,1.832026661882801122e+01
4.420000000000000000e+02,1.802245810308489737e+01
4.425000000000000000e+02,1.763592565742286666e+01
4.430000000000000000e+02,1.712192748394501862e+01
4.435000000000000000e+02,1.657738324408964559e+01
4.440000000000000000e+02,1.606855444445062275e+01
4.445000000000000000e+02,1.568413069479722743e+01
4.450000000000000000e+02,1.538651260591846714e+01
4.455000000000000000e+02,1.541347111634199862e+01
4.460000000000000000e+02,1.578987736656416452e+01
4.465000000000000000e+02,1.603127144230516166e+01
4.470000000000000000e+02,1.617031389884919790e+01
4.475000000000000000e+02,1.626005928650298671e+01
4.480000000000000000e+02,1.598210970919378227e+01
4.485000000000000000e+02,1.567304536428867046e+01
4.490000000000000000e+02,1.556376416805559337e+01
4.495000000000000000e+02,1.535014544357029287e+01
4.500000000000000000e+02,1.503454424179332882e+01
4.505000000000000000e+02,1.482185367846583190e+01
4.510000000000000000e+02,1.447577011195065566e+01
4.515000000000000000e+02,1.395972457250521970e+01
4.520000000000000000e+02,1.354415616411986889e+01
4.525000000000000000e+02,1.328284125577109620e+01
4.530000000000000000e+02,1.308368499201585067e+01
4.535000000000000000e+02,1.306472231260552874e+01
4.540000000000000000e+02,1.331404403678476989e+01
4.545000000000000000e+02,1.367584398727430894e+01
4.550000000000000000e+02,1.391445654984563518e+01
4.555000000000000000e+02,1.386471862723503712e+01
4.560000000000000000e+02,1.376774890248951877e+01
4.565000000000000000e+02,1.356053936134297722e+01
4.570000000000000000e+02,1.309603528850686338e+01
4.575000000000000000e+02,1.271954724394754344e+01
4.580000000000000000e+02,1.278886324655594464e+01
4.585000000000000000e+02,1.289480137908145885e+01
4.590000000000000000e+02,1.300108581582809997e+01
4.595000000000000000e+02,1.317363996578818686e+01
4.600000000000000000e+02,1.320158338850701796e+01
4.605000000000000000e+02,1.311341338211162189e+01
4.610000000000000000e+02,1.305874510405610422e+01
4.615000000000000000e+02,1.285069846502377899e+01
4.620000000000000000e+02,1.273783009711308445e+01
4.625000000000000000e+02,1.284385420858796856e+01
4.630000000000000000e+02,1.277322346723794766e+01
4.635000000000000000e+02,1.259413895484645352e+01
4.640000000000000000e+02,1.244232083469604611e+01
4.645000000000000000e+02,1.230134447579994017e+01
4.650000000000000000e+02,1.218367157461709560e+01
4.655000000000000000e+02,1.229185132768316890e+01
4.660000000000000000e+02,1.239826063282715474e+01
4.665000000000000000e+02,1.260118970537483740e+01
